run_name,success,exit_code,wall_time_s,error,final_time,n_steps,growth_dt,growth_n_steps,treated_dt
r0010_AB-rt_alpha_beta_ratio,True,0,17.197,,160.1209660725602,1922,0.08330955570892831,481,0.08330955570892831
r0010_AB-seed_sigma_mm,True,0,12.705,,160.1209660725602,1922,0.08330955570892831,481,0.08330955570892831
r0010_AB-gaussian_seed_y_fraction,True,0,13.004,,160.1209660725602,1922,0.08330955570892831,481,0.08330955570892831
r0010_AB-gaussian_seed_x_fraction,True,0,14.489,,160.1209660725602,1922,0.08330955570892831,481,0.08330955570892831
r0010_AB-gaussian_seed_z_fraction,True,0,14.035,,160.1209660725602,1922,0.08330955570892831,481,0.08330955570892831
r0010_AB-seed_peak_density,True,0,18.779,,160.1209660725602,1922,0.08330955570892831,481,0.08330955570892831
r0010_B,True,0,14.564,,294.9743347640193,3541,0.08330255147247087,2100,0.08330255147247086
r0011_A,True,0,15.12,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-front_speed_mm_per_day,True,0,17.799,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-front_width_mm,True,0,19.325,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-resection_time,True,0,17.297,,198.75432154924545,2386,0.08330021858727805,945,0.08330021858727805
r0011_AB-rt_alpha,True,0,16.178,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-diffusivity_ratio,True,0,18.548,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-rt_alpha_beta_ratio,True,0,16.016,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-chemo_kill_rate,True,0,19.252,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-gaussian_seed_x_fraction,True,0,15.237,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-seed_peak_density,True,0,17.69,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-seed_sigma_mm,True,0,17.061,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-gaussian_seed_y_fraction,True,0,17.724,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_AB-gaussian_seed_z_fraction,True,0,18.788,,254.3657957524597,3054,0.08328938957185976,1613,0.08328938957185976
r0011_B,True,0,17.996,,198.75432154924545,2386,0.08330021858727805,945,0.08330021858727805
r0012_A,True,0,15.363,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0012_AB-front_width_mm,True,0,15.635,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0012_AB-front_speed_mm_per_day,True,0,16.784,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0012_AB-resection_time,True,0,15.503,,228.00572243031905,2737,0.08330497713932009,1296,0.08330497713932007
r0012_AB-diffusivity_ratio,True,0,18.089,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0012_AB-chemo_kill_rate,True,0,17.546,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0012_AB-rt_alpha,True,0,18.48,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0012_AB-rt_alpha_beta_ratio,True,0,19.178,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0012_AB-seed_peak_density,True,0,20.161,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0012_AB-gaussian_seed_x_fraction,True,0,15.073,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0012_AB-seed_sigma_mm,True,0,18.563,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0013_A,True,0,15.313,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0012_AB-gaussian_seed_y_fraction,True,0,20.851,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
