patient,cell,t_r_column,observation_set,split,name,resid7_frac,norm_T_r,n_rows
p03,young_weak,fixed_dt,e,region,out_of_field,0.326134211480153,0.0006054802757942668,1163112
p03,young_weak,fixed_dt,e,day,pre,0.044950887747374935,283.12241621354696,467626
p03,young_weak,fixed_dt,e,day,d80,0.05085075959873322,114.14367659109458,467626
p03,young_weak,fixed_dt,e,day,d120,0.07707761143920305,143.83801636721324,467626
p03,young_weak,fixed_dt,f,region,core,0.08192675498382498,111.22436164788253,2178
p03,young_weak,fixed_dt,f,region,rim,0.046029062057179104,238.74755824461215,7592
p03,young_weak,fixed_dt,f,region,out_of_field,0.2346074305812489,0.0006761829766030677,1938520
p03,young_weak,fixed_dt,f,day,pre,0.059277543538026604,283.12241621354696,467626
p03,young_weak,fixed_dt,f,day,d34,0.035743143529655415,172.72733589900398,467626
p03,young_weak,fixed_dt,f,day,d55,0.08053780316759335,32.89799624425957,467626
p03,young_weak,fixed_dt,f,day,d80,0.049754068090565186,114.14367659109458,467626
p03,young_weak,fixed_dt,f,day,d120,0.05450999251741881,143.83801636721324,467626
p04,young_weak,scaled_dt,a,region,core,2.30251578225509e-15,93.94479847789934,1858
p04,young_weak,scaled_dt,a,region,rim,1.866800143410361e-15,189.39110808385163,6182
p04,young_weak,scaled_dt,a,region,out_of_field,1.3255722034537795e-14,0.00024669944344522424,401624
p04,young_weak,scaled_dt,a,day,pre,1.789382542899871e-15,273.005260361761,478198
p04,young_weak,scaled_dt,b,region,core,0.10643141444002716,93.94479847789934,1858
p04,young_weak,scaled_dt,b,region,rim,0.06665194629973754,217.09077610543548,11138
p04,young_weak,scaled_dt,b,region,out_of_field,0.7440582551822846,0.02908953530049251,803248
p04,young_weak,scaled_dt,b,day,pre,0.07287990075213314,273.005260361761,478198
p04,young_weak,scaled_dt,b,day,d120,0.06856751974568684,167.00484174829944,478198
p04,young_weak,scaled_dt,c,region,core,0.1064363563749372,93.94479847789934,1858
p04,young_weak,scaled_dt,c,region,rim,0.06665036111914166,217.09077610543548,11138
p04,young_weak,scaled_dt,c,region,out_of_field,0.7434211795904465,0.029114537614067737,1204872
p04,young_weak,scaled_dt,c,day,pre,0.07288339722385992,273.005260361761,478198
p04,young_weak,scaled_dt,c,day,d55,1.4609106372959195,0.09972514858233415,478198
p04,young_weak,scaled_dt,c,day,d120,0.06855759061192189,167.00484174829944,478198
p04,young_weak,scaled_dt,d,region,core,0.11585693604247956,93.94479847789934,1858
p04,young_weak,scaled_dt,d,region,rim,0.06745512525746461,217.09077610543548,11138
p04,young_weak,scaled_dt,d,region,out_of_field,0.46169793052317165,0.029126529548328894,1606496
p04,young_weak,scaled_dt,d,day,pre,0.07931832316397047,273.005260361761,478198
p04,young_weak,scaled_dt,d,day,d34,0.050335836405725594,32.126312946618555,478198
p04,young_weak,scaled_dt,d,day,d55,0.06435272501713464,0.09972514858233415,478198
p04,young_weak,scaled_dt,d,day,d120,0.05796879557816067,167.00484174829944,478198
p04,young_weak,scaled_dt,e,region,core,0.11335453737767182,93.94479847789934,1858
p04,young_weak,scaled_dt,e,region,rim,0.06652416189522728,217.09077610543548,11138
p04,young_weak,scaled_dt,e,region,out_of_field,0.5235538712824913,0.029247108515536507,1204872
p04,young_weak,scaled_dt,e,day,pre,0.07765599620241516,273.005260361761,478198
p04,young_weak,scaled_dt,e,day,d80,0.35081348690520914,7.670080819593278,478198
p04,young_weak,scaled_dt,e,day,d120,0.05978815518645062,167.00484174829944,478198
p04,young_weak,scaled_dt,f,region,core,0.11587564172279195,93.94479847789934,1858
